,,,"Mon, Jul 13",OBJETIVO,,,115 gr,100 gr,124 gr,35 gr,2000 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Jun 1",20:10 ,Creatina Monohidrato,0.5,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Jun 1",22:20 ,Atún (1 lata),1,Proteína,120 gr,31 gr,0 gr,1 gr,0 gr,139 kcal,02:10,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.02,0.08,,,0.98,
,"Mon, Jun 1",22:20 ,Huevo,0.7,Proteína,46 gr,5 gr,0 gr,5 gr,0 gr,71 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.86,2.04,,,5.37,
,"Mon, Jun 1",22:20 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Jun 1",22:20 ,Queso Unt. Casancrem Balance,5,Lácteo,50 gr,4 gr,4 gr,5 gr,0 gr,75 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.16,1.55,0.21,0.37,2.99,
,"Mon, Jun 1",22:20 ,Pasta de maní King natural,1,Fruto Seco,15 gr,4 gr,2 gr,7 gr,1 gr,88 kcal,,,,,,144 gr,233 gr,61 gr,25 gr,"2,001 kcal",1546 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,1 gr,7 gr,21 gr,1 gr,1 gr,44 gr,0 gr,29 gr,46 gr,1:7,,2.50,3.60,,,7.35,
,"Tue, Jun 2",13:30 ,Vitaminas,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,15:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",13:30 ,Arroz Integral,1,Grano,40 gr,1 gr,9 gr,0 gr,1 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",13:30 ,Ají,0.5,Verdura,32 gr,0 gr,1 gr,0 gr,0 gr,6 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",13:30 ,Zucchini,0.2,Verdura,73 gr,1 gr,3 gr,0 gr,1 gr,12 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",13:30 ,Cebolla,0.4,Verdura,90 gr,1 gr,9 gr,0 gr,1 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",13:30 ,Lentejas,0.5,Carb,130 gr,8 gr,21 gr,1 gr,6 gr,121 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",13:30 ,Pollo (1 pechuga),0.6,Proteína,194 gr,55 gr,0 gr,6 gr,0 gr,293 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,1.24,2.48,,,6.21,
,"Tue, Jun 2",13:30 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",13:30 ,Queso Unt. Casancrem Balance,2,Lácteo,20 gr,1 gr,1 gr,2 gr,0 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.06,0.62,0.09,0.15,1.19,
,"Tue, Jun 2",13:30 ,Maní King Tostado Sin Piel Sin Sodio (1 cda sop),1,Fruto Seco,15 gr,4 gr,2 gr,8 gr,1 gr,89 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,3.68,,,7.50,
,"Tue, Jun 2",13:30 ,"Aceite de oliva (EV, PPF)",2,Grano,4 gr,0 gr,0 gr,4 gr,0 gr,36 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.40,3.00,,,4.00,
,"Tue, Jun 2",15:20 ,Chocobar de Arroz,1,Procesado,20 gr,1 gr,11 gr,4 gr,1 gr,89 kcal,01:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",15:20 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",15:20 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",15:20 ,"Leche, Protein",0.5,Lácteo,50 gr,2 gr,2 gr,0 gr,0 gr,19 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",17:30 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,02:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",17:30 ,"Leche, Protein",1,Lácteo,100 gr,5 gr,5 gr,0 gr,0 gr,37 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",17:30 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",17:30 ,Whey Protein Bar Chocolate,1,Procesado,65 gr,21 gr,24 gr,10 gr,1 gr,249 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",19:30 ,Banana,1,Fruta,155 gr,2 gr,36 gr,0 gr,4 gr,138 kcal,02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",19:30 ,"Leche, Protein",1.5,Lácteo,150 gr,7 gr,7 gr,0 gr,0 gr,56 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Jun 2",19:30 ,Creatina Monohidrato,0.5,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,114 gr,168 gr,37 gr,19 gr,"1,428 kcal",1208 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,0 gr,4 gr,10 gr,0 gr,0 gr,19 gr,0 gr,14 gr,19 gr,0:4,,,,,,,
,"Wed, Jun 3",11:10 ,Vitaminas,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",11:10 ,Palta,0.3,Fruta,42 gr,1 gr,4 gr,6 gr,3 gr,67 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.86,4.37,,,6.16,
,"Wed, Jun 3",11:10 ,Queso Unt. Finlandia Light,2,Lácteo,20 gr,2 gr,1 gr,3 gr,0 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,0.85,0.12,0.21,1.64,
,"Wed, Jun 3",11:10 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",11:10 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",11:10 ,"Leche, Protein",0.5,Lácteo,50 gr,2 gr,2 gr,0 gr,0 gr,19 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",11:10 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",11:10 ,Vainillas Bimbo,2,Carb,24 gr,2 gr,18 gr,1 gr,0 gr,90 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",11:10 ,Galletitas Cachafaz Algarroba,1,Procesado,15 gr,1 gr,9 gr,2 gr,1 gr,61 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",11:10 ,"Chocolate, Águila (1 barrita)",0.7,Carb,11 gr,1 gr,6 gr,3 gr,1 gr,49 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.83,,,2.52,
,"Wed, Jun 3",15:10 ,Cebolla,0.5,Verdura,102 gr,1 gr,10 gr,0 gr,1 gr,43 kcal,04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",15:10 ,Zucchini,0.4,Verdura,116 gr,1 gr,4 gr,0 gr,1 gr,20 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",15:10 ,Zanahoria,0.4,Verdura,86 gr,1 gr,8 gr,0 gr,2 gr,35 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",15:10 ,Ají,0.4,Verdura,36 gr,0 gr,1 gr,0 gr,0 gr,6 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",15:10 ,Arroz Integral,1,Grano,40 gr,1 gr,9 gr,0 gr,1 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",15:10 ,Pollo (1 pechuga),0.6,Proteína,187 gr,53 gr,0 gr,6 gr,0 gr,282 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,1.20,2.39,,,5.98,
,"Wed, Jun 3",15:10 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",15:10 ,Queso Unt. Finlandia Light,2,Lácteo,20 gr,2 gr,1 gr,3 gr,0 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,0.85,0.12,0.21,1.64,
,"Wed, Jun 3",15:10 ,"Aceite de oliva (EV, PPF)",2,Grano,4 gr,0 gr,0 gr,4 gr,0 gr,36 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.40,3.00,,,4.00,
,"Wed, Jun 3",15:10 ,Maní King Tostado Sin Piel Sin Sodio (1 cda sop),1,Fruto Seco,15 gr,4 gr,2 gr,8 gr,1 gr,89 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,3.68,,,7.50,
,"Wed, Jun 3",15:10 ,"Medallón de chocolate con menta, Benot",1,Procesado,14 gr,0 gr,10 gr,1 gr,1 gr,35 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.42,,,1.26,
,"Wed, Jun 3",16:50 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,01:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",16:50 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",16:50 ,"Leche, Protein",1,Lácteo,100 gr,5 gr,5 gr,0 gr,0 gr,37 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",16:50 ,Whey Protein Bar Chocolate,1,Procesado,65 gr,21 gr,24 gr,10 gr,1 gr,249 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",21:45 ,Cebolla,0.5,Verdura,70 gr,1 gr,7 gr,0 gr,1 gr,29 kcal,04:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",21:45 ,Zucchini,0.4,Verdura,120 gr,1 gr,4 gr,0 gr,1 gr,20 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",21:45 ,Zanahoria,0.4,Verdura,80 gr,1 gr,8 gr,0 gr,2 gr,33 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",21:45 ,Ají,0.4,Verdura,20 gr,0 gr,1 gr,0 gr,0 gr,4 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",21:45 ,Arroz Integral,1,Grano,40 gr,1 gr,9 gr,0 gr,1 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",21:45 ,Pollo (1 pechuga),0.6,Proteína,180 gr,51 gr,0 gr,6 gr,0 gr,272 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,1.15,2.30,,,5.76,
,"Wed, Jun 3",21:45 ,Pan Integral D&D,1,Grano,25 gr,2 gr,12 gr,1 gr,1 gr,58 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",21:45 ,Queso Unt. Finlandia Light,2,Lácteo,20 gr,2 gr,1 gr,3 gr,0 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,0.85,0.12,0.21,1.64,
,"Wed, Jun 3",21:45 ,"Aceite de oliva (EV, PPF)",2,Grano,4 gr,0 gr,0 gr,4 gr,0 gr,36 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.40,3.00,,,4.00,
,"Wed, Jun 3",21:45 ,Maní King Tostado Sin Piel Sin Sodio (1 cda sop),1,Fruto Seco,15 gr,4 gr,2 gr,8 gr,1 gr,89 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,3.68,,,7.50,
,"Wed, Jun 3",21:45 ,"Oralitas, tortillas",3,Carb,108 gr,7 gr,54 gr,9 gr,2 gr,324 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Jun 3",21:45 ,"Medallón de chocolate con menta, Benot",1,Procesado,14 gr,0 gr,10 gr,1 gr,1 gr,35 kcal,,,,,,175 gr,283 gr,82 gr,30 gr,"2,509 kcal",1762 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,0 gr,10 gr,27 gr,0 gr,1 gr,51 gr,0 gr,37 gr,52 gr,0:10,,0.04,0.42,,,1.26,
,"Thu, Jun 4",9:50 ,Vitaminas,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,12:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",9:50 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",9:50 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",9:50 ,"Leche, Protein",0.5,Lácteo,50 gr,2 gr,2 gr,0 gr,0 gr,19 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",9:50 ,Pont Protein Bar,1,Procesado,55 gr,18 gr,21 gr,4 gr,7 gr,188 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",14:10 ,Pollo (1 pechuga),0.6,Proteína,197 gr,56 gr,0 gr,6 gr,0 gr,297 kcal,04:20,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,1.26,2.52,,,6.30,
,"Thu, Jun 4",14:10 ,Tomate,1,Verdura,150 gr,1 gr,6 gr,0 gr,2 gr,27 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",14:10 ,Pan Integral D&D,3,Grano,75 gr,6 gr,36 gr,2 gr,4 gr,174 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",14:10 ,Queso Unt. Finlandia Light,2,Lácteo,20 gr,2 gr,1 gr,3 gr,0 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,0.85,0.12,0.21,1.64,
,"Thu, Jun 4",15:30 ,"Yogurt, Ser",1,Lácteo,120 gr,6 gr,7 gr,0 gr,0 gr,51 kcal,01:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",15:30 ,Galletitas Cachafaz Algarroba,2,Procesado,29 gr,2 gr,18 gr,5 gr,2 gr,122 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",15:30 ,Queso Unt. Finlandia Light,3,Lácteo,30 gr,3 gr,2 gr,4 gr,0 gr,57 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.13,1.28,0.18,0.31,2.46,
,"Thu, Jun 4",15:30 ,Avena Granix Instnatánea (2 cdas),1,Grano,30 gr,4 gr,18 gr,2 gr,3 gr,107 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",15:30 ,Pasta de maní King natural,1,Fruto Seco,15 gr,4 gr,2 gr,7 gr,1 gr,88 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,3.60,,,7.35,
,"Thu, Jun 4",15:30 ,Creatina Monohidrato,0.5,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",15:30 ,"Medallón de chocolate con menta, Benot",1,Procesado,14 gr,0 gr,10 gr,1 gr,1 gr,35 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.42,,,1.26,
,"Thu, Jun 4",17:40 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,02:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",17:40 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",17:40 ,"Leche, Protein",1,Lácteo,100 gr,5 gr,5 gr,0 gr,0 gr,37 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Jun 4",17:40 ,Whey Protein Bar Chocolate,1,Procesado,65 gr,21 gr,24 gr,10 gr,1 gr,249 kcal,,,,,,130 gr,164 gr,45 gr,21 gr,"1,544 kcal",970 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,0 gr,4 gr,9 gr,0 gr,1 gr,19 gr,0 gr,13 gr,20 gr,0:4,,,,,,,
,"Fri, Jun 5",9:30 ,Vitaminas,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",9:30 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",9:30 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",9:30 ,"Leche, Protein",0.5,Lácteo,50 gr,2 gr,2 gr,0 gr,0 gr,19 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",9:30 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",9:30 ,Queso Unt. Finlandia Light,2,Lácteo,20 gr,2 gr,1 gr,3 gr,0 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,0.85,0.12,0.21,1.64,
,"Fri, Jun 5",9:30 ,Huevo,1,Proteína,65 gr,8 gr,0 gr,8 gr,0 gr,101 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.23,2.91,,,7.67,
,"Fri, Jun 5",9:30 ,"Chocolate, Águila (1 barrita)",0.7,Carb,11 gr,1 gr,6 gr,3 gr,1 gr,49 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.83,,,2.52,
,"Fri, Jun 5",9:30 ,Nuez (1),1,Fruto Seco,4 gr,1 gr,0 gr,3 gr,0 gr,27 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,1.30,0.56,,,2.55,
,"Fri, Jun 5",9:30 ,Almendra (1),1,Fruto Seco,7 gr,1 gr,0 gr,4 gr,1 gr,40 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,2.73,,,3.75,
,"Fri, Jun 5",9:30 ,Galletitas Cachafaz Algarroba,2,Procesado,29 gr,2 gr,18 gr,5 gr,2 gr,122 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",15:00 ,"Vaca, cuadril",1.8,Proteína,188 gr,41 gr,0 gr,13 gr,0 gr,282 kcal,05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.53,5.53,,,6.58,
,"Fri, Jun 5",15:00 ,Tomate,1,Verdura,133 gr,1 gr,5 gr,0 gr,2 gr,24 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",15:00 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",15:00 ,Queso Unt. Finlandia Light,2,Lácteo,20 gr,2 gr,1 gr,3 gr,0 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,0.85,0.12,0.21,1.64,
,"Fri, Jun 5",16:55 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,01:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",16:55 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",16:55 ,"Leche, Protein",1,Lácteo,100 gr,5 gr,5 gr,0 gr,0 gr,37 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",16:55 ,Whey Protein Bar Chocolate,1,Procesado,65 gr,21 gr,24 gr,10 gr,1 gr,249 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",19:05 ,Manzana,1,Fruta,191 gr,1 gr,36 gr,0 gr,6 gr,138 kcal,02:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",19:05 ,Banana,1,Fruta,76 gr,1 gr,17 gr,0 gr,2 gr,68 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",19:05 ,"Leche, Protein",0.5,Lácteo,50 gr,2 gr,2 gr,0 gr,0 gr,19 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",19:05 ,Creatina Monohidrato,0.5,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Jun 5",22:30 ,"Vaca, Vacío (1 corte)",0.7,Proteína,210 gr,38 gr,0 gr,36 gr,0 gr,504 kcal,03:25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,1.43,14.99,,,17.85,
,"Fri, Jun 5",22:30 ,Papa,2,Carb,200 gr,4 gr,43 gr,0 gr,0 gr,184 kcal,,,,,,140 gr,224 gr,89 gr,20 gr,"2,226 kcal",1539 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,1 gr,5 gr,29 gr,0 gr,0 gr,44 gr,0 gr,36 gr,45 gr,1:5,,,,,,,
,"Sat, Jun 6",9:30 ,Vitaminas,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Jun 6",9:30 ,Te,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Jun 6",9:30 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Jun 6",9:30 ,"Galletitas Smams, chips de chocolate",2,Carb,60 gr,4 gr,40 gr,9 gr,0 gr,211 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Jun 6",9:30 ,"Medallón de chocolate con menta, Benot",1,Procesado,14 gr,0 gr,10 gr,1 gr,1 gr,35 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.42,,,1.26,
,"Sat, Jun 6",12:00 ,Whey Protein Bar Chocolate,1,Procesado,65 gr,21 gr,24 gr,10 gr,1 gr,249 kcal,02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Jun 6",15:00 ,Ají,0.3,Verdura,55 gr,1 gr,2 gr,0 gr,0 gr,10 kcal,03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Jun 6",15:00 ,Tallarines Terrabusi,1.1,Grano,85 gr,9 gr,61 gr,1 gr,3 gr,284 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Jun 6",15:00 ,"Vaca, Vacío (1 corte)",0.6,Proteína,192 gr,35 gr,0 gr,33 gr,0 gr,461 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,1.31,13.71,,,16.32,
,"Sat, Jun 6",15:00 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Jun 6",15:00 ,Queso Unt. Finlandia Light,2,Lácteo,20 gr,2 gr,1 gr,3 gr,0 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,0.85,0.12,0.21,1.64,
,"Sat, Jun 6",15:00 ,Jardinera,0.4,Carb,78 gr,3 gr,10 gr,0 gr,3 gr,54 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Jun 6",15:00 ,"Aceite de oliva (EV, PPF)",2,Grano,4 gr,0 gr,0 gr,4 gr,0 gr,36 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.40,3.00,,,4.00,
,"Sat, Jun 6",18:20 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,03:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Jun 6",18:20 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Jun 6",18:20 ,"Leche, Protein",1,Lácteo,100 gr,5 gr,5 gr,0 gr,0 gr,37 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Jun 6",18:20 ,Whey Protein Bar Chocolate,1,Procesado,65 gr,21 gr,24 gr,10 gr,1 gr,249 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
